id,category,sub_category,topic,question,answer,tags,source_confidence,context
11,Industry Overview,Creative Hubs,Kumasi,What is Kumasi known for in Ghana's creative industry?,"Kumasi is known for Kente weaving (especially Bonwire village), Akan arts, visual arts, and fashion. It is Ghana's second-largest city and a major centre for traditional crafts and heritage arts.","kumasi, kente, bonwire, akan arts, traditional crafts",High,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Kumasi
Kumasi is known for Kente weaving (especially Bonwire village), Akan arts, visual arts, and fashion. It is Ghana's second-largest city and a major centre for traditional crafts and heritage arts."
12,Industry Overview,Creative Hubs,Tamale,What creative industries are strong in Tamale?,Tamale is known for Northern traditional arts smock (fugu) weaving and cultural festivals. It represents Ghana's northern creative heritage and traditional textile production.,"tamale, northern arts, smock, fugu, cultural festivals, traditional",High,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Tamale
Tamale is known for Northern traditional arts smock (fugu) weaving and cultural festivals. It represents Ghana's northern creative heritage and traditional textile production."
13,Industry Overview,Creative Hubs,Cape Coast,What is Cape Coast's role in Ghana's creative scene?,"Cape Coast is known for heritage tourism, visual arts, and its academic creative community. It is home to institutions that contribute to creative education and cultural preservation.","cape coast, heritage tourism, visual arts, academic, cultural preservation",High,"Category: Industry Overview | Sub-category: Creative Hubs | Topic: Cape Coast
Cape Coast is known for heritage tourism, visual arts, and its academic creative community. It is home to institutions that contribute to creative education and cultural preservation."
14,Institutions,Government,Creative Arts Council,What is the Creative Arts Council of Ghana?,The Creative Arts Council of Ghana is the apex regulatory body established under the Creative Arts Act 2020 (Act 1048). It oversees industry coordination and policy across all creative sub-sectors.,"creative arts council, regulatory body, act 1048, policy, coordination",High,"Category: Institutions | Sub-category: Government | Topic: Creative Arts Council
The Creative Arts Council of Ghana is the apex regulatory body established under the Creative Arts Act 2020 (Act 1048). It oversees industry coordination and policy across all creative sub-sectors."
15,Institutions,Government,National Film Authority,What does the National Film Authority (NFA) do?,"The National Film Authority (NFA) regulates film production distribution classification and exhibition in Ghana. It is the primary regulatory body for Ghana's film industry (Ghallywood)., NFA","national film authority, film regulation, ghallywood, distribution",High,"Category: Institutions | Sub-category: Government | Topic: National Film Authority
The National Film Authority (NFA) regulates film production distribution classification and exhibition in Ghana. It is the primary regulatory body for Ghana's film industry (Ghallywood)., NFA"
16,Institutions,Government,GHAMRO,What is GHAMRO?,"GHAMRO (Ghana Music Rights Organisation) is Ghana's collective management organisation (CMO) for music copyright. It handles royalty collection and distribution on behalf of music rights holders., GHAMRO","music rights, royalties, copyright, collective management",High,"Category: Institutions | Sub-category: Government | Topic: GHAMRO
GHAMRO (Ghana Music Rights Organisation) is Ghana's collective management organisation (CMO) for music copyright. It handles royalty collection and distribution on behalf of music rights holders., GHAMRO"
17,Institutions,Government,Copyright Office,What is the Copyright Office of Ghana?,"The Copyright Office of Ghana (COSG) operates under the Ministry of Justice. It handles intellectual property (IP) registration and enforcement for all creative works in Ghana., copyright office, COSG, intellectual property, IP registration",enforcement,High,"Category: Institutions | Sub-category: Government | Topic: Copyright Office
The Copyright Office of Ghana (COSG) operates under the Ministry of Justice. It handles intellectual property (IP) registration and enforcement for all creative works in Ghana., copyright office, COSG, intellectual property, IP registration"
18,Institutions,Government,Ghana Tourism Authority,How does the Ghana Tourism Authority relate to creative industries?,"The Ghana Tourism Authority (GTA) intersects with creative industries through cultural tourism. It promotes Ghana's cultural heritage and creative output as part of the tourism sector., GTA","tourism, cultural tourism, creative industries, heritage",High,"Category: Institutions | Sub-category: Government | Topic: Ghana Tourism Authority
The Ghana Tourism Authority (GTA) intersects with creative industries through cultural tourism. It promotes Ghana's cultural heritage and creative output as part of the tourism sector., GTA"
19,Institutions,Government,GEPA,How does GEPA support Ghana's creative industry?,"The Ghana Export Promotion Authority (GEPA) supports the export of creative products including fashion and crafts. It provides assistance with export documentation and trade fair participation for creative entrepreneurs., GEPA","export, fashion export, crafts export, trade fairs",High,"Category: Institutions | Sub-category: Government | Topic: GEPA
The Ghana Export Promotion Authority (GEPA) supports the export of creative products including fashion and crafts. It provides assistance with export documentation and trade fair participation for creative entrepreneurs., GEPA"
20,Institutions,Music Labels,Lynx Entertainment,What is Lynx Entertainment?,"Lynx Entertainment is one of Ghana's most commercially successful record labels. It is home to top artists including Kuami Eugene and KiDi., Lynx Entertainment, record label, Kuami Eugene, KiDi",music,High,"Category: Institutions | Sub-category: Music Labels | Topic: Lynx Entertainment
Lynx Entertainment is one of Ghana's most commercially successful record labels. It is home to top artists including Kuami Eugene and KiDi., Lynx Entertainment, record label, Kuami Eugene, KiDi"
21,Institutions,Music Labels,Highly Spiritual Music,What artists are signed to Highly Spiritual Music?,"Highly Spiritual Music is a Ghana record label home to artists including Medikal and Fameye., Highly Spiritual Music, record label, Medikal, Fameye",,High,"Category: Institutions | Sub-category: Music Labels | Topic: Highly Spiritual Music
Highly Spiritual Music is a Ghana record label home to artists including Medikal and Fameye., Highly Spiritual Music, record label, Medikal, Fameye"
22,Institutions,Music Labels,3 Music Networks,What is 3 Music Networks?,"3 Music Networks is a Ghanaian media and music awards company. It organizes the annual 3Music Awards which recognize achievement across Ghana's music industry., 3 Music Networks, 3Music Awards","media, music awards",High,"Category: Institutions | Sub-category: Music Labels | Topic: 3 Music Networks
3 Music Networks is a Ghanaian media and music awards company. It organizes the annual 3Music Awards which recognize achievement across Ghana's music industry., 3 Music Networks, 3Music Awards"
23,Institutions,Film,Sparrow Productions,What is Sparrow Productions?,"Sparrow Productions is one of Ghana's oldest and most prolific film production companies. It has been a cornerstone of Ghallywood's production history., Sparrow Productions, Ghallywood","film production, cinema",High,"Category: Institutions | Sub-category: Film | Topic: Sparrow Productions
Sparrow Productions is one of Ghana's oldest and most prolific film production companies. It has been a cornerstone of Ghallywood's production history., Sparrow Productions, Ghallywood"
24,Institutions,Film,Ananse Studios,What is Ananse Studios?,"Ananse Studios is a contemporary Ghanaian production house focused on quality storytelling. It represents the new wave of Ghanaian film production prioritizing production value and narrative quality., Ananse Studios, film production, storytelling, Ghallywood",contemporary,High,"Category: Institutions | Sub-category: Film | Topic: Ananse Studios
Ananse Studios is a contemporary Ghanaian production house focused on quality storytelling. It represents the new wave of Ghanaian film production prioritizing production value and narrative quality., Ananse Studios, film production, storytelling, Ghallywood"
25,Institutions,Fashion,Christie Brown,Who is Christie Brown (Aisha Ayensu)?,"Christie Brown is a Ghanaian fashion label founded by Aisha Ayensu. It is internationally recognised and has been shown at New York Fashion Week (NYFW) and London Fashion Week (LFW)., Christie Brown, Aisha Ayensu, fashion, NYFW, LFW",international,High,"Category: Institutions | Sub-category: Fashion | Topic: Christie Brown
Christie Brown is a Ghanaian fashion label founded by Aisha Ayensu. It is internationally recognised and has been shown at New York Fashion Week (NYFW) and London Fashion Week (LFW)., Christie Brown, Aisha Ayensu, fashion, NYFW, LFW"
26,Institutions,Fashion,Studio 189,What is Studio 189?,"Studio 189 is an Accra-based ethical fashion and arts platform co-founded by Rosario Dawson and Abrima Erwiah. It promotes African artisanal production and supports Ghanaian creative communities., Studio 189, ethical fashion, accra, Rosario Dawson, Abrima Erwiah",artisanal,High,"Category: Institutions | Sub-category: Fashion | Topic: Studio 189
Studio 189 is an Accra-based ethical fashion and arts platform co-founded by Rosario Dawson and Abrima Erwiah. It promotes African artisanal production and supports Ghanaian creative communities., Studio 189, ethical fashion, accra, Rosario Dawson, Abrima Erwiah"
27,Institutions,Guilds,Ghana Actors Guild,What is the Ghana Actors Guild?,"The Ghana Actors Guild (GAG) is the professional association representing actors in Ghana's film and television industry. It advocates for the rights and professional development of Ghanaian actors., Ghana Actors Guild, GAG","actors, film, television, professional association",High,"Category: Institutions | Sub-category: Guilds | Topic: Ghana Actors Guild
The Ghana Actors Guild (GAG) is the professional association representing actors in Ghana's film and television industry. It advocates for the rights and professional development of Ghanaian actors., Ghana Actors Guild, GAG"
28,Institutions,Guilds,MPAG,What is the Music Producers Association of Ghana?,"The Music Producers Association of Ghana (MPAG) is the professional guild representing music producers. It advocates for producers' rights and professional standards in Ghana's music production industry., MPAG","music producers, guild, professional association",High,"Category: Institutions | Sub-category: Guilds | Topic: MPAG
The Music Producers Association of Ghana (MPAG) is the professional guild representing music producers. It advocates for producers' rights and professional standards in Ghana's music production industry., MPAG"
29,Music Industry,Genres,Highlife,What is Highlife music?,"Highlife is Ghana's foundational music genre rooted in the 1920s–1970s. It features guitar-led brass-infused arrangements. Legends include E.T. Mensah Amakye Dede and Daddy Lumba. It is considered the cornerstone of Ghanaian musical identity., highlife, E.T. Mensah, Amakye Dede, Daddy Lumba, genre, Ghanaian music",,High,"Category: Music Industry | Sub-category: Genres | Topic: Highlife
Highlife is Ghana's foundational music genre rooted in the 1920s–1970s. It features guitar-led brass-infused arrangements. Legends include E.T. Mensah Amakye Dede and Daddy Lumba. It is considered the cornerstone of Ghanaian musical identity., highlife, E.T. Mensah, Amakye Dede, Daddy Lumba, genre, Ghanaian music"
30,Music Industry,Genres,Hiplife,What is Hiplife music?,"Hiplife is a Ghanaian genre that blends Highlife with Hip-hop. It was pioneered in the 1990s by Reggie Rockstone and defined a generation of Ghanaian popular music. It served as a bridge between traditional Ghanaian sound and global hip-hop culture., hiplife, Reggie Rockstone","hip-hop, highlife fusion, 1990s",High,"Category: Music Industry | Sub-category: Genres | Topic: Hiplife
Hiplife is a Ghanaian genre that blends Highlife with Hip-hop. It was pioneered in the 1990s by Reggie Rockstone and defined a generation of Ghanaian popular music. It served as a bridge between traditional Ghanaian sound and global hip-hop culture., hiplife, Reggie Rockstone"
31,Music Industry,Artists,Sarkodie,Who is Sarkodie?,"Sarkodie (Michael Owusu Addo) is one of Ghana's most celebrated and internationally recognised rap artists. He is a multiple VGMA winner and has collaborated with international artists. He is widely regarded as Ghana's greatest rapper., Sarkodie, rap, VGMA, Ghanaian music",international,High,"Category: Music Industry | Sub-category: Artists | Topic: Sarkodie
Sarkodie (Michael Owusu Addo) is one of Ghana's most celebrated and internationally recognised rap artists. He is a multiple VGMA winner and has collaborated with international artists. He is widely regarded as Ghana's greatest rapper., Sarkodie, rap, VGMA, Ghanaian music"
32,Music Industry,Artists,Stonebwoy,Who is Stonebwoy?,"Stonebwoy (Livingstone Etse Satekla) is a Ghanaian dancehall and Afropop artist and multiple VGMA winner including Artiste of the Year. He has an international following and has performed on global stages., Stonebwoy, dancehall, afropop, VGMA",,High,"Category: Music Industry | Sub-category: Artists | Topic: Stonebwoy
Stonebwoy (Livingstone Etse Satekla) is a Ghanaian dancehall and Afropop artist and multiple VGMA winner including Artiste of the Year. He has an international following and has performed on global stages., Stonebwoy, dancehall, afropop, VGMA"
33,Music Industry,Artists,Shatta Wale,Who is Shatta Wale?,"Shatta Wale (Charles Nii Armah Mensah Jr) is one of Ghana's biggest music stars known for dancehall and Afropop. He has a massive domestic fanbase (SM Nation) and collaborated with Beyoncé on the Lion King: The Gift album., Shatta Wale, dancehall, Beyoncé, Lion King, SM Nation",,High,"Category: Music Industry | Sub-category: Artists | Topic: Shatta Wale
Shatta Wale (Charles Nii Armah Mensah Jr) is one of Ghana's biggest music stars known for dancehall and Afropop. He has a massive domestic fanbase (SM Nation) and collaborated with Beyoncé on the Lion King: The Gift album., Shatta Wale, dancehall, Beyoncé, Lion King, SM Nation"
34,Music Industry,Artists,KiDi,Who is KiDi in Ghana's music industry?,"KiDi (Dennis Nana Dwamena) is a Ghanaian Afropop/highlife artist signed to Lynx Entertainment. He is known for hits blending contemporary Afrobeats with Highlife influences and has won multiple VGMA awards., KiDi, Lynx Entertainment, afropop, highlife, VGMA",,High,"Category: Music Industry | Sub-category: Artists | Topic: KiDi
KiDi (Dennis Nana Dwamena) is a Ghanaian Afropop/highlife artist signed to Lynx Entertainment. He is known for hits blending contemporary Afrobeats with Highlife influences and has won multiple VGMA awards., KiDi, Lynx Entertainment, afropop, highlife, VGMA"
35,Music Industry,Distribution,Streaming Platforms,What streaming platforms are most popular for Ghanaian music?,"The most popular streaming platforms for Ghanaian music are Audiomack (dominant in Ghana) Spotify Apple Music and Boomplay. Audiomack has the strongest domestic penetration among Ghanaian listeners., Audiomack, Boomplay, Spotify, Apple Music","streaming, distribution",High,"Category: Music Industry | Sub-category: Distribution | Topic: Streaming Platforms
The most popular streaming platforms for Ghanaian music are Audiomack (dominant in Ghana) Spotify Apple Music and Boomplay. Audiomack has the strongest domestic penetration among Ghanaian listeners., Audiomack, Boomplay, Spotify, Apple Music"
36,Music Industry,Distribution,Radio,What radio stations are important for Ghana's music industry?,"Key radio stations for Ghana's music industry include Joy FM, Hitz FM, Adom FM, and Zylofon FM. Radio play remains critical for domestic reach and breaking new artists in Ghana., Joy FM, Hitz FM, Adom FM, Zylofon FM","radio, music promotion",High,"Category: Music Industry | Sub-category: Distribution | Topic: Radio
Key radio stations for Ghana's music industry include Joy FM, Hitz FM, Adom FM, and Zylofon FM. Radio play remains critical for domestic reach and breaking new artists in Ghana., Joy FM, Hitz FM, Adom FM, Zylofon FM"
37,Music Industry,Awards,VGMA,What are the VGMAs?,"The Vodafone Ghana Music Awards (VGMAs) are Ghana's premier annual music awards. They recognise achievement across all music genres and are considered the most prestigious music honour in Ghana., VGMA, Vodafone Ghana Music Awards","music awards, annual",High,"Category: Music Industry | Sub-category: Awards | Topic: VGMA
The Vodafone Ghana Music Awards (VGMAs) are Ghana's premier annual music awards. They recognise achievement across all music genres and are considered the most prestigious music honour in Ghana., VGMA, Vodafone Ghana Music Awards"
38,Music Industry,Copyright,Royalties,How do musicians collect royalties in Ghana?,"Musicians in Ghana collect performance and broadcast royalties through GHAMRO (Ghana Music Rights Organisation). However piracy and digital monitoring gaps mean many artists receive less than their full entitlement. Streaming platforms also pay royalties directly to rights holders or their distributors., GHAMRO","royalties, copyright, piracy, streaming",High,"Category: Music Industry | Sub-category: Copyright | Topic: Royalties
Musicians in Ghana collect performance and broadcast royalties through GHAMRO (Ghana Music Rights Organisation). However piracy and digital monitoring gaps mean many artists receive less than their full entitlement. Streaming platforms also pay royalties directly to rights holders or their distributors., GHAMRO"
40,Film Industry,Artists,Jackie Appiah,Who is Jackie Appiah?,"Jackie Appiah is one of Ghana's most celebrated film actresses. She has starred in numerous Ghanaian and Nollywood productions and is regarded as one of West Africa's top screen talents., Jackie Appiah, actress, Ghallywood, Nollywood",film,High,"Category: Film Industry | Sub-category: Artists | Topic: Jackie Appiah
Jackie Appiah is one of Ghana's most celebrated film actresses. She has starred in numerous Ghanaian and Nollywood productions and is regarded as one of West Africa's top screen talents., Jackie Appiah, actress, Ghallywood, Nollywood"
41,Film Industry,Artists,Majid Michel,Who is Majid Michel?,"Majid Michel is a prominent Ghanaian actor known for his roles in Ghallywood and Nollywood films. He later became a Christian minister while maintaining his public profile as a cultural figure., Majid Michel, actor, Ghallywood, Nollywood",,High,"Category: Film Industry | Sub-category: Artists | Topic: Majid Michel
Majid Michel is a prominent Ghanaian actor known for his roles in Ghallywood and Nollywood films. He later became a Christian minister while maintaining his public profile as a cultural figure., Majid Michel, actor, Ghallywood, Nollywood"
42,Film Industry,Artists,Nana Ama McBrown,Who is Nana Ama McBrown?,"Nana Ama McBrown is a Ghanaian actress and TV presenter. She is one of Ghana's most popular entertainment personalities known for her film work and hosting roles on television., Nana Ama McBrown, actress, TV presenter, Ghallywood",,High,"Category: Film Industry | Sub-category: Artists | Topic: Nana Ama McBrown
Nana Ama McBrown is a Ghanaian actress and TV presenter. She is one of Ghana's most popular entertainment personalities known for her film work and hosting roles on television., Nana Ama McBrown, actress, TV presenter, Ghallywood"
43,Film Industry,Events,NFA Industry Forum,What is the NFA Industry Forum?,"The National Film Authority (NFA) Industry Forum is an annual event where Ghanaian film industry stakeholders gather to discuss policy production standards regulation and the future of Ghallywood., NFA Industry Forum","film industry, policy, annual, stakeholders",High,"Category: Film Industry | Sub-category: Events | Topic: NFA Industry Forum
The National Film Authority (NFA) Industry Forum is an annual event where Ghanaian film industry stakeholders gather to discuss policy production standards regulation and the future of Ghallywood., NFA Industry Forum"
44,Fashion Industry,Textiles,Kente,What is Kente cloth?,"Kente is a woven silk and cotton fabric originating from the Ashanti and Ewe peoples of Ghana. It is primarily produced in Bonwire (Ashanti Region) and the Volta Region. It is worn at ceremonies graduations and state occasions and is a globally recognised symbol of Ghanaian and African identity., Kente, Ashanti, Ewe, Bonwire, Volta Region",traditional textile,High,"Category: Fashion Industry | Sub-category: Textiles | Topic: Kente
Kente is a woven silk and cotton fabric originating from the Ashanti and Ewe peoples of Ghana. It is primarily produced in Bonwire (Ashanti Region) and the Volta Region. It is worn at ceremonies graduations and state occasions and is a globally recognised symbol of Ghanaian and African identity., Kente, Ashanti, Ewe, Bonwire, Volta Region"
45,Fashion Industry,Textiles,Adinkra,What is Adinkra cloth?,"Adinkra cloth is a Ghanaian fabric printed with Akan symbols (Adinkra symbols) each carrying cultural meaning. It is used in mourning ceremonies and celebrations. Originally from the Bono people it has become a broadly Akan and pan-Ghanaian cultural textile., Adinkra, Akan symbols, mourning, celebration, Bono people",traditional,High,"Category: Fashion Industry | Sub-category: Textiles | Topic: Adinkra
Adinkra cloth is a Ghanaian fabric printed with Akan symbols (Adinkra symbols) each carrying cultural meaning. It is used in mourning ceremonies and celebrations. Originally from the Bono people it has become a broadly Akan and pan-Ghanaian cultural textile., Adinkra, Akan symbols, mourning, celebration, Bono people"
46,Fashion Industry,Textiles,Smock,What is Smock (Fugu)?,"Smock (also called Fugu) is a hand-woven fabric from Northern Ghana. It is popular in Tamale and across northern regions and has become a symbol of northern Ghanaian identity worn at cultural events and increasingly adopted by urban Ghanaians., Smock, Fugu, Northern Ghana, Tamale","hand-woven, traditional",High,"Category: Fashion Industry | Sub-category: Textiles | Topic: Smock
Smock (also called Fugu) is a hand-woven fabric from Northern Ghana. It is popular in Tamale and across northern regions and has become a symbol of northern Ghanaian identity worn at cultural events and increasingly adopted by urban Ghanaians., Smock, Fugu, Northern Ghana, Tamale"
47,Fashion Industry,Events,Ghana Fashion and Design Week,What is Ghana Fashion and Design Week (GFDW)?,"Ghana Fashion and Design Week (GFDW) is Ghana's biggest fashion platform held bi-annually in Accra. It showcases both emerging and established Ghanaian designers and serves as the main runway event for the local fashion industry., GFDW, Ghana Fashion and Design Week, runway, Accra","fashion event, bi-annual",High,"Category: Fashion Industry | Sub-category: Events | Topic: Ghana Fashion and Design Week
Ghana Fashion and Design Week (GFDW) is Ghana's biggest fashion platform held bi-annually in Accra. It showcases both emerging and established Ghanaian designers and serves as the main runway event for the local fashion industry., GFDW, Ghana Fashion and Design Week, runway, Accra"
48,Fashion Industry,Designers,Ozwald Boateng,Who is Ozwald Boateng?,"Ozwald Boateng is a British-Ghanaian fashion designer and Savile Row tailor. He is globally recognised for his bespoke tailoring and serves as a brand ambassador for Ghanaian creativity in international fashion circles., Ozwald Boateng, British-Ghanaian, Savile Row","tailoring, international fashion",High,"Category: Fashion Industry | Sub-category: Designers | Topic: Ozwald Boateng
Ozwald Boateng is a British-Ghanaian fashion designer and Savile Row tailor. He is globally recognised for his bespoke tailoring and serves as a brand ambassador for Ghanaian creativity in international fashion circles., Ozwald Boateng, British-Ghanaian, Savile Row"
49,Digital Creative,Social Media,TikTok,How is TikTok shaping Ghana's creative industry?,"TikTok Ghana is the fastest-growing social media platform for youth creators as of 2023 onwards. It has created new income streams for comedians dancers musicians and lifestyle creators. Brand partnerships and creator fund payments are emerging income sources., TikTok, social media, youth creators, Ghana",content creation,High,"Category: Digital Creative | Sub-category: Social Media | Topic: TikTok
TikTok Ghana is the fastest-growing social media platform for youth creators as of 2023 onwards. It has created new income streams for comedians dancers musicians and lifestyle creators. Brand partnerships and creator fund payments are emerging income sources., TikTok, social media, youth creators, Ghana"
50,Digital Creative,Animation,Leti Arts,What is Leti Arts?,"Leti Arts is an Accra-based gaming and animation studio. It pioneered African superhero games and comics and is one of Africa's leading interactive media companies focused on African storytelling through digital games and graphic novels., Leti Arts, animation, gaming, African superheroes, Accra",digital media,High,"Category: Digital Creative | Sub-category: Animation | Topic: Leti Arts
Leti Arts is an Accra-based gaming and animation studio. It pioneered African superhero games and comics and is one of Africa's leading interactive media companies focused on African storytelling through digital games and graphic novels., Leti Arts, animation, gaming, African superheroes, Accra"
51,Digital Creative,Animation,Kugali Media,What is Kugali Media's connection to Ghana?,"Kugali Media is a pan-African animation and comics company with a Ghanaian co-founder. It partnered with Disney on the animated series Iwájú set in a futuristic Lagos. It represents Ghana's growing contribution to global animation., Kugali Media, animation, Disney, Iwájú, pan-African",,High,"Category: Digital Creative | Sub-category: Animation | Topic: Kugali Media
Kugali Media is a pan-African animation and comics company with a Ghanaian co-founder. It partnered with Disney on the animated series Iwájú set in a futuristic Lagos. It represents Ghana's growing contribution to global animation., Kugali Media, animation, Disney, Iwájú, pan-African"
52,Digital Creative,Tech-Creative,iSpace Foundation,What is iSpace Foundation?,"iSpace Foundation is an Accra-based innovation hub that supports hybrid tech-creative startups. It provides workspace mentorship and community for entrepreneurs at the intersection of technology and creative industries., iSpace Foundation, Accra","innovation hub, tech-creative, startups",High,"Category: Digital Creative | Sub-category: Tech-Creative | Topic: iSpace Foundation
iSpace Foundation is an Accra-based innovation hub that supports hybrid tech-creative startups. It provides workspace mentorship and community for entrepreneurs at the intersection of technology and creative industries., iSpace Foundation, Accra"
53,Challenges,Piracy,Music Piracy,How does piracy affect Ghana's music industry?,"Piracy remains a severe challenge for Ghana's music industry. Physical and digital piracy reduces revenue for artists and labels. GHAMRO and the Copyright Office have limited enforcement capacity. However growing streaming adoption is gradually reducing physical piracy's impact., piracy, music industry, GHAMRO","copyright, enforcement, streaming",High,"Category: Challenges | Sub-category: Piracy | Topic: Music Piracy
Piracy remains a severe challenge for Ghana's music industry. Physical and digital piracy reduces revenue for artists and labels. GHAMRO and the Copyright Office have limited enforcement capacity. However growing streaming adoption is gradually reducing physical piracy's impact., piracy, music industry, GHAMRO"
